Well #,UTME,UTMN,Elevation (ft),Elevation(m),Depth (ft),Depth(m),Type,,,,,,
1000011435,559648,4869619,1280,390.144,60,18.288,Domestic,,,,,,
1000011434,557884,4867441,1290,393.192,30,9.144,Domestic,,,,,,
665449,560895,4869781,1287,392.2776,400,121.92,Domestic,,,,,,
1000014703,557747,4868329,1286,391.9728,320,97.536,Other,,,,,,
626647,557629,4869555,1245,379.476,420,128.016,Domestic,,,,,,
446647,558695,4868072,1285,391.668,451,137.4648,Domestic,,,,,,
721932,560678,4867850,1303,397.1544,310,94.488,Domestic,,,,,,
227390,560529,4867985,1300,396.24,350,106.68,Domestic,,,,,,
220607,557794,4869547,1243,378.8664,328,99.9744,Domestic,,,,,,
446675,559827,4869685,1285,391.668,455,138.684,Domestic,,,,,,
622683,557467,4869701,1257,383.1336,359,109.4232,Domestic,,,,,,
1000010392,559407,4867404,1295,394.716,175,53.34,Domestic,,,,,,
665432,560502,4868089,1290,393.192,447,136.2456,Domestic,,,,,,
684609,557935,4868535,1280,390.144,271,82.6008,Domestic,,,,,,
719914,559626,4869621,1280,390.144,460,140.208,Domestic,,,,,,
1000011447,559829,4869697,1285,391.668,50,15.24,Other,,,,,,
147038,558163,4869584,1256,382.8288,275,83.82,Domestic,,,,,,
1000010388,558726,4868116,1285,391.668,150,45.72,Domestic,,,,,,
107657,557813,4867594,1290,393.192,320,97.536,Domestic,,,,,,
742923,560050,4869607,1280,390.144,270,82.296,Domestic,,,,,,
701991,559480,4867991,1304,397.4592,305,92.964,Domestic,,,,,,
464692,557882,4867436,1291,393.4968,309,94.1832,Domestic,,,,,,
634228,560328,4869567,1290,393.192,400,121.92,Domestic,,,,,,
1000011433,559495,4868225,1310,399.288,160,48.768,Domestic,,,,,,
